-1.46 - 00015058 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/tux-walk-4b.xpm
-1.38 - 00015058 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/tux-walk-3b.xpm
-1.31 - 00015058 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/tux_duckb.xpm
-1.24 - 00015058 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/tux_jumpb.xpm
-1.86 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux-standb.xpm
-1.69 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux_jump.xpm
-1.65 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux_duck.xpm
-1.60 - 00015059 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tres.xpm
-1.55 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux_duckb.xpm
-1.51 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux_jumpb.xpm
-1.47 - 00015059 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/tux-stand.xpm
-1.38 - 00015059 - ENTRY - 596 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test/
-1.33 - 00015059 - CREATE - Command: ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/test-l  -a --block-size=1024 -S --max_depth=2147483639
-0.71 - 00015058 - ENTRY - 124 ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards/
-0.61 - 00015058 - CREATE - Command: ../TestDir/er/code/tux_backwards/code/img_files/tux_backwards-l  -a --block-size=1024 -S --max_depth=2147483640
0.01 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-walk-3.xpm
0.12 - 00015057 - ENTRY - 472 ../TestDir/er/code/tux_backwards/code/img_files/um.xpm
0.17 - 00015057 - ENTRY - 20 ../TestDir/er/code/tux_backwards/code/img_files/tux-stand.xpm
